Student ID,Full Name,Course,Grade
89,Alison Murray,APMTH,93
59,Amber-Rose Austin,APMTH,93
68,Aran Rice,APMTH,89
44,Brandan Mcbride,APMTH,89
32,Veronica Dodd,APMTH,88
47,Abbi Perkins,APMTH,84
92,Safa Carrillo,APMTH,84
98,Milo Whittington,APMTH,81
65,Jemma Shannon,APMTH,81
56,Amanda Mathis,APMTH,80
26,Sara Stacey,APMTH,80
77,Landon Fields,APMTH,75
83,Ffion Jones,APMTH,75
86,Loretta Truong,APMTH,74
20,Howard Goldsmith,APMTH,74
14,Leia Browne,APMTH,73
80,Myra Bryant,APMTH,73
95,Desiree Rivers,APMTH,72
74,Randall Deacon,APMTH,72
53,Carwyn Decker,APMTH,71
11,Monty Bloom,APMTH,71
8,Penelope Brett,APMTH,69
71,Johnnie Murillo,APMTH,69
29,Hana Larson,APMTH,67
50,Husnain Hilton,APMTH,64
41,Corban Dorsey,APMTH,64
35,Rida Hanson,APMTH,63
38,Aine Bates,APMTH,62
23,Flynn Morton,APMTH,62
5,Emily Barber,APMTH,61
62,Avneet Melendez,APMTH,60
17,Eisa Grainger,APMTH,59
2,Tazmin Morse,APMTH,51
